success,video_path,starts,ends,text,formatted_data
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/12289718@N00_4955434740_80ae47ef41.mov,tensor([[0]]),tensor([[31]]),a man in a hat dials a number on his phone. man gives the shush sign man makes shushing gesture. the man with the hat puts his phone down. man nods head,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_10.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/34418903@N00_5271280795_b561e95d46.mov,tensor([[0]]),tensor([[31]]),baby yells at camera and plays with toy hand counts to two person holds up four fingers,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_11.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/76236359@N00_4283045069_40f7510c03.mp4,tensor([[0]]),tensor([[31]]),a cat jumps off of a bed while chasing a laser pointer. The cat jump off of the sofa. in this scene the cat jumps off the bed to chase a laser beam,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_12.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/20148960@N00_3951736137_8aee69f6f7.avi,tensor([[0]]),tensor([[31]]),"a baby is reaching for something then takes a bite of food. baby reaches with hand for camera baby first reaches for the camera the baby extends its right hand toward the viewer, then retracts it. baby points at camera.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_13.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/39346508@N00_3097148199_ee152ea273.mp4,tensor([[0]]),tensor([[31]]),a child holding a camera waves at the camera. a man in a maroon sweater shakes something Boy shakes cocktail shaker,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_14.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/64194819@N00_2481079905_c0df9212a9.avi,tensor([[0]]),tensor([[31]]),the kids run past the camera. Girl in blue pants and blue shirt crosses the street. a man holding a child on his shoulders exits the camera view,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_15.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/87719130@N00_4156236069_0c530f3d65.avi,tensor([[0]]),tensor([[31]]),"two people go around each other in a circle then pirouette. two ice skaters come out of a cave Two more ice skaters emerge from the tunnel. Two skaters skate in a circle around one another.
",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_16.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/10955425@N00_5507632479_b5b8f6cd0b.mov,tensor([[0]]),tensor([[31]]),"the middle child on the stage puts his hands on his hips. some of the dancers lower to the floor, to their knees. Dance troupe begins routine by turning to face camera. the kids on stage all kneel down.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_17.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/8071066@N04_4240441600_2f984e817e.mpg,tensor([[0]]),tensor([[31]]),two penguins move towards each other on the ice. the girl grabs a penguin. Adult in jeans and cream jacket helps kid,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_18.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/92431035@N00_6990277885_8b3cdfaf50.mov,tensor([[0]]),tensor([[31]]),little boy in shallow water falls down a boy in a blue hat falls down in the pool. a little boy walks up and touches the marker. baby in water walking towards a yellow object.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_19.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/34418903@N00_6095169007_d2ed0735b8.mov,tensor([[0]]),tensor([[31]]),little girl realizes shes made a big mess a girl kneels down and removes a book from a shelf. a little girl kneels down and reaches for a bookon a shelf.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_20.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/95239135@N00_3600500186_0e4cbe517f.mp4,tensor([[0]]),tensor([[31]]),kitten bites woman's pinky finger. someone stops scratching a kitten's belly. Hand wakes up kitten. The kitten nibbles at one of the owner's fingers. a black and white kitten is biting a hand with a pinky ring.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_21.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/37007021@N00_2699696028_a88257e84d.mov,tensor([[0]]),tensor([[31]]),little girl pours water on the grass. a child drinks from a plastic pool. the girl takes a green item out of the water.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_22.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/22837634@N02_3853299361_1570049e56.3g2,tensor([[0]]),tensor([[31]]),woman in sunglasses moves her head close to the camera. a woman takes a drink from a can. A group of girls are in a boat. a woman takes a sip of a canned drink. camera moves from woman to the water below.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_23.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/19251296@N00_4478203456_d0f06bf1ba.avi,tensor([[0]]),tensor([[31]]),little boy runs up red porch a little boy reaches a door. Child walks onto red walkway. boy steps onto grass from the road,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_24.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/25958034@N03_4542467095_30fde9b376.mov,tensor([[0]]),tensor([[31]]),the doctor gives a baby a shot. a baby gets a shot in its leg. Person removes syringe from leg. A nurse pulls a medical needle out of the baby.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_25.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/34831177@N06_7962850080_8d9683c2f2.mov,tensor([[0]]),tensor([[31]]),girl on bike talks to camera a man is talking and the camera moves left and a woman on a bicycle comes into view. a person on a bike arrives. a man talking and shaking his head to the camera before it pans to a girl on a bike,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_26.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/16933239@N05_9651948133_c0fd984a94.mov,tensor([[0]]),tensor([[31]]),baby claps in the basket the baby takes something out of his mouth. A baby puts a large pretzel in his mouth. baby puts toy in mouth.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_27.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/11054484@N04_6231798967_b93788d4e6.mov,tensor([[0]]),tensor([[31]]),"cat gets petted with hand wearing a ring someone is petting a cat. is the hand of a woman, this has a ring, and this petting a kitten. person pets cat with left hand.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_28.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/75654019@N00_6991147608_597530f374.mov,tensor([[0]]),tensor([[31]]),the girl in the white hat speaks to the camera the kid in the yellow hat looks up and talks to the camera. child on our left first looks at the camera the girl in the white hat looks at the camera. the girl in the yellow hat looks up.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_29.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/39787674@N00_3902581172_957490ae17.avi,tensor([[0]]),tensor([[31]]),the musician sets his music stand down a man brings a music stand over A man in a brown suit carries in and sets down a black music stand. A man bring a music stand into the picture. Man sets up musical stand.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_30.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/11054484@N04_8455678355_bf3fa55b14.mp4,tensor([[0]]),tensor([[31]]),the little girl puts something in her mouth without speaking first Baby puts food in mouth and immediately looks down and then blinks. Little girl leans back and throws head back.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_31.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/10770768@N08_3448935461_2498513c58.avi,tensor([[0]]),tensor([[31]]),the girl in the pink sweatshirt pushes off from the wall and continues skating a girl in a pink shirt holds onto the wall A girl skates into a counter. Girl in pink touches her hair Girl in blue comes around corner.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_32.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/23368098@N05_4895311765_65288776af.mov,tensor([[0]]),tensor([[31]]),man puts crazy hat on a man wears a hat on his head Man puts on hat. A man is wearing a camouflage hat filled with buttons.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_33.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/32161074@N04_6531994237_dc9ec33e52.mov,tensor([[0]]),tensor([[31]]),ballerinas perform a dance ballerinas dance out onto a stage ballerinas dance on stage.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_34.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/8571427@N04_7382511952_ef3c6c3291.mov,tensor([[0]]),tensor([[31]]),little boy dances a child walks backwards the child carriers the stick and places it on the chair.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_35.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/81894727@N00_3063066131_f053c78b81.avi,tensor([[0]]),tensor([[31]]),"mounted policeman on horse crosses street a person on a horse crosses the street A horse crosses the view.
 A policeman on a horse goes by. Police on horse passes by.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_36.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/63985404@N00_8351615846_8a4a391d1b.mov,tensor([[0]]),tensor([[31]]),"lady takes off her glasses the blonde woman takes off her sunglasses. A single blonde woman takes off her glasses within a crowd. a woman in a brown coat pumps her fist in a crowd of people, seemingly excited. Woman shakes fists at crowd.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_37.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/60844215@N00_3017795013_01491bd994.mp4,tensor([[0]]),tensor([[31]]),an adult shows a baby how to play with a toy a woman's finger turns a toy in the front of the baby's jumper. The child's attention goes from center to right. A baby in a bouncer is shown a toy.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_38.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/71628335@N00_3151447202_906a3e503f.mov,tensor([[0]]),tensor([[31]]),a baby drinks from a bottle a baby removes his hand from his mouth. Hand enters scene and gives bottle to baby.   Someone puts a bottle into a baby's mouth. baby has bottle put in its mouth.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_39.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/49616536@N00_2413537965_6a6d4a6c9c.avi,tensor([[0]]),tensor([[31]]),a dog runs quickly away a dog rolls around on the lawn then stands up. the dog runs away.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_40.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/96675095@N00_5928607902_42e5546d60.mp4,tensor([[0]]),tensor([[31]]),"girl gives a 'peace sign.' a young girl holding a violin gives the peace sign while walking back to her seat. An Asian girl held up 2 fingers to the camera. Girl removes hand from violin and shows ""peace"" sign. four children play violins.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_41.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/53535391@N00_3750252633_962cb160c8.avi,tensor([[0]]),tensor([[31]]),"kid makes a 'cheering' gesture. a child raises its hands over its head. Woman raises her right hand and baby immediately raises both hands.  woman and baby both raise hands
 Woman makes handmotions with baby.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_42.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/81894727@N00_5449771865_b7ff2cb307.mov,tensor([[0]]),tensor([[31]]),a man sticks his tongue out at the camera. the roller coaster goes past a building with windows. A man sticks out his tongue. The seat the men are sitting on begin to move. roller coaster starts moving.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_43.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/80591230@N00_3439589008_d11dbb6927.mov,tensor([[0]]),tensor([[31]]),a boy hits the oncoming ping pong ball and it flies to his left. A boy claps his paddle. kid first hits ball away with paddle. the boy claps the paddle with his left hand,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_44.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/54449436@N00_6787585195_9aec27c676.avi,tensor([[0]]),tensor([[31]]),"a girl in a blue shirt waves to the camera. a girl waves then talks. A small girl smiles and bids bye. the child smiles and lifts her hand to wave, and the video ends while the child is still waving.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_45.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/28789213@N00_4263851962_ec2d5775b9.mov,tensor([[0]]),tensor([[31]]),"the man raises his head to reveal the road behind him a man in a red jacket blows into his hands, to warm them. a man in a red jacket looks out over a large body of water.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_46.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/66252507@N00_3413224176_3b3d9e53ff.3g2,tensor([[0]]),tensor([[31]]),the cat leaps away from the person an orange cat leaps a gap between a couch. Cat jumps on table cat jumping away from a playful master a orange cat is jumping from couch to couch,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_47.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/92582562@N00_5614839112_cf7d80ca4d.mov,tensor([[0]]),tensor([[31]]),"a man holds a pillow up to the camera a man holds up a pillow that was on his lap. The man is holding the pillow and looking at it. a woman points at a pillow, brings her hand to her mouth, and giggles",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_48.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/9161595@N03_9676201305_78aa08336b.mov,tensor([[0]]),tensor([[31]]),guards turn and lift one knee up in unison the men stand in line perfectly still. The camera pans to the left to follow the marchers The men standing still in line lift their leg once. the soldiers stop marching and stand still,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_49.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/71628335@N00_2638349338_602f9fe2db.mov,tensor([[0]]),tensor([[31]]),a single biker goes down the path one bicycle rider rides by after all the rest. Two lead racers pass camera. the bicyclists round the curve as they approach the camera. two racers fly by quickly.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_50.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/18548283@N00_3205233992_7e73f9e96f.3g2,tensor([[0]]),tensor([[31]]),waves splash against mans feet the cameraman shows his feet in the clear water while small waves roll in. Some one stands in the ocean and the waves roll over their feet. camera points at the sun. persons feet in the water,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_51.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/22735328@N00_8515923489_fa3554e85f.mov,tensor([[0]]),tensor([[31]]),"a boy dribbles a ball up the court. a boy in a black shirt throws a ball. Man in grey shirt, black shorts, and black shoes walks left across the video. A boy dribbles the ball up the court. the grey team won the basketball game",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_52.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/22837634@N02_3854089156_b9b104059d.3g2,tensor([[0]]),tensor([[31]]),a man wearing sunglasses is talking. someone sprays water on a woman's legs. a woman wearing big black sunglasses smiles and talks to the camera as she rides on a boat. person in hat talks into camera,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_53.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/84491786@N00_5360595399_deab383d50.mov,tensor([[0]]),tensor([[31]]),a baby put a blue object on a toy. a child is holding a green toy. a baby is handed a green toy. man hands the child the blue toy,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_54.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/38928365@N06_4485750784_06a22534f2.mov,tensor([[0]]),tensor([[31]]),"a little boy goes and pours some water in something then makes it back almost to the other children. Boy in green shirt runs out of scene with cup of water in left hand.  boy in yellow runs back to the boy in green, who then starts running little boy in green hands off water cup first boy dumps water out of a cup then runs back to the bucket",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_55.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/44124468195@N01_2409512954_42db023187.avi,tensor([[0]]),tensor([[31]]),the camera shakes as it photographs a road sign. The vehicle has two red lights White van stopped at traffic light,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_56.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/63853971@N00_3126019136_36a7d77387.mp4,tensor([[0]]),tensor([[31]]),santa gives the little boy something blue. a young boy hands santa clause a blue toy. A child gives a gift to Santa. Santa hands something to the boy.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_57.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/27647984@N00_2757528396_35524b13e6.mp4,tensor([[0]]),tensor([[31]]),"a guy in a hat holds up four fingers. a woman puts a book in front of her face. Person does ""rock"" sign with both hands. A man with glasses smiles and a woman holds up a magazine.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_58.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/82832950@N00_2892477928_67a0f1f613.avi,tensor([[0]]),tensor([[31]]),the man in glasses points at the camera. a man shakes his head no. Computer guy points at camera. man looking at pictures at work gets caught,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_59.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/11054484@N04_7686759608_8f40ba6acd.mov,tensor([[0]]),tensor([[31]]),the little girl leans in and kisses the man. a man kisses a baby. Mn kisses baby mouth to mouth.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_60.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/44124367255@N01_2433870917_f1865a4b7d.avi,tensor([[0]]),tensor([[31]]),someone is tickling a cat's nose. someone is playing with a cat with their finger. a cat looking up at a wagging finger. the gray cat enters the frame,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_61.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/48889125832@N01_2444482597_803665ca76.avi,tensor([[0]]),tensor([[31]]),"a little girl takes something out of a cup filled with dark liquid. a little girl puts an egg in a cup of dye and reaches in and grabs it. A little girl takes something out of a glass filled with dark liquid. Little girl puts her hand in blue dye
",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_62.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/86378412@N00_2742197146_de63631351.mp4,tensor([[0]]),tensor([[31]]),"a man writes something near the bottom of the paper. someone is using a marker to sign a pictured autograph. Man finishes writing and puts cap on marker. man writing down with a marker
 on a poster a man is writing on a white paper",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_63.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/51378257@N00_4963450616_37ab59fb4b.avi,tensor([[0]]),tensor([[31]]),a man licks a bone sample a man licks a stick. A man licks a bone.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_64.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/60844215@N00_5516186952_e74e6ceae4.avi,tensor([[0]]),tensor([[31]]),the adult woman puts her left hand over her mouth a woman covers her mouth with her hand. A little girl waves her arms then covers her face with her hands. woman stand up to do same thing as her daughter.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_65.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/30185327@N07_2866564169_9882cb6dbb.avi,tensor([[0]]),tensor([[31]]),"a man in a blue shirt talks to the camera there's a man with a red shirt and a goatee. a girl talking
 3 men in white shirst and 1 man in a red shirt talk. a man in a blue shirt talks to the camera.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_66.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/92024390@N00_3613042430_9d8cf20bfa.mpg,tensor([[0]]),tensor([[31]]),one girl jumped off the stage. girl falls off stage then climbs back up Someone gets off the stage. A woman jumps off the stage and then jumps back on. a dancer in striped shirt turns around.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_67.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/31266237@N00_5357712621_d1487326d2.mov,tensor([[0]]),tensor([[31]]),"two men with drinks talking in front of a christmas tree. two men toast with champagne flutes. camera pans over to the woman at the end of the table, then back to the first two guys.",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_68.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/34025889@N00_6185657653_a8288880b1.mov,tensor([[0]]),tensor([[31]]),sunglasses on the table an animals runs into a gray barrel. Frog hps inside the hole Retreat!The squirrel runs and hides.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_69.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/9781230@N06_5069299300_859f6b7b39.avi,tensor([[0]]),tensor([[31]]),drum major twirls baton two men twirl their batons and then the men begin marching. military routine with batons,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_70.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/84687617@N00_3376239645_19ffbb10a1.avi,tensor([[0]]),tensor([[31]]),cat sits down a cat sits down on a newspaper then meows. a cat meows cat walks off of the newspaper a cat sits on a table and meows.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_71.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/64353172@N00_8259996337_3537cf5401.mp4,tensor([[0]]),tensor([[31]]),laptop screen shown a man sticks out his tongue. Man sticks out tip of tongue and begins talking. A man walks past a laptop computer.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_72.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/28994929@N06_4098208711_6c134fdd27.mov,tensor([[0]]),tensor([[31]]),someone moves an orange go kart off a track a blue cart turns a corner. Woman moves orange motorcycle.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_73.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/51229679@N03_5415885839_a25a9b0f44.mp4,tensor([[0]]),tensor([[31]]),a person strums on a guitar a woman walks away from the microphone. A woman stops playing the guitar and takes the microphone. Singer lowers mic and walks away. singer walks away,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_74.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/45822315@N00_7187185131_9c8b9e734c.avi,tensor([[0]]),tensor([[31]]),a person drinks from a gold cup something runs by and nudges the camera the face of a lady in a black shirt with black hair can be seen the child sits with one foot on the table. cup comes in to frame for first time.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_75.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/26232232@N07_3528754424_73d6ea2ed0.avi,tensor([[0]]),tensor([[31]]),the dog rolls over and gets a belly rub. someone pets a dog on the head. Dog licks lips and is pet. Dog licks its face,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_76.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/66908011@N00_3583710962_746390e15d.avi,tensor([[0]]),tensor([[31]]),"the cat jumps over some boots to get to the ball. a cat walks behind a white cloth. The cat jumps to catch the toy.
",/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_77.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/77395664@N00_5195942390_382dbc680b.mov,tensor([[0]]),tensor([[31]]),the man in a grey shirt dumps the contents of the red cup into the big bowl. a man pours out a cup of something on a tray that a man is holding. Man pours orange cup on top of platter. man with pink shirt trying to drink from a big bowl man dumps contents of orange cup into pan,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_78.pth
True,/home/ubuntu/search_efs/public_datasets/didemo/all_videos/22843806@N03_8641012115_5a42eeda5f.mov,tensor([[0]]),tensor([[31]]),little girl grabs something and throws it a little girl throws something. Girl picks up object from red table.,/home/ubuntu/search_efs/public_datasets/didemo/formatted_data/train_data_id_79.pth
